id,instrument_name,category,issuing_authority,index_source_url,canonical_url,expected_version_hint,status,source_document_id,last_checked_at,notes
PC-001,State Planning Policy 7.3 Residential Design Codes Volume 1,planning_code,Western Australian Planning Commission,https://www.wa.gov.au/government/document-collections/planning-codes-and-state-planning-policies,https://www.wa.gov.au/system/files/2026-04/r-codes-volume-1-10-april-2026.pdf,current consolidated,extracted,,2026-06-10,direct R-Codes Vol 1 PDF (collection-page resolver had grabbed PB114)
PC-002,State Planning Policy 7.3 Residential Design Codes Volume 2 - Apartments,planning_code,Western Australian Planning Commission,https://www.wa.gov.au/government/document-collections/planning-codes-and-state-planning-policies,https://www.wa.gov.au/government/document-collections/state-planning-policy-73-residential-design-codes-apartments,current consolidated,extracted,,2026-06-10,R-Codes Vol 2 (apartments)
SPP-001,State Planning Policy 1 State Planning Framework,SPP,Western Australian Planning Commission,https://www.wa.gov.au/government/document-collections/planning-codes-and-state-planning-policies,https://www.wa.gov.au/system/files/2021-06/SPP_1_State_Planning_Framework.pdf,2021,extracted,,2026-06-10,
SPP-002,State Planning Policy 2.0 Environment and Natural Resources Policy,SPP,Western Australian Planning Commission,https://www.wa.gov.au/government/document-collections/planning-codes-and-state-planning-policies,https://www.wa.gov.au/government/publications/state-planning-policy-20-environment-and-natural-resources-policy,,extracted,,2026-06-10,
SPP-003,State Planning Policy 2.4 Planning for Basic Raw Materials,SPP,Western Australian Planning Commission,https://www.wa.gov.au/government/document-collections/planning-codes-and-state-planning-policies,https://www.wa.gov.au/government/publications/state-planning-policy-24-basic-raw-materials,,extracted,,2026-06-10,
SPP-004,State Planning Policy 2.5 Rural Planning,SPP,Western Australian Planning Commission,https://www.wa.gov.au/government/document-collections/planning-codes-and-state-planning-policies,https://www.wa.gov.au/government/publications/state-planning-policy-25-rural-planning,,extracted,,2026-06-10,
SPP-005,State Planning Policy 2.6 State Coastal Planning,SPP,Western Australian Planning Commission,https://www.wa.gov.au/government/document-collections/planning-codes-and-state-planning-policies,https://www.wa.gov.au/government/publications/state-planning-policy-26-coastal-planning,,extracted,,2026-06-10,
SPP-006,State Planning Policy 2.8 Bushland Policy for the Perth Metropolitan Region,SPP,Western Australian Planning Commission,https://www.wa.gov.au/government/document-collections/planning-codes-and-state-planning-policies,https://www.wa.gov.au/government/publications/state-planning-policy-28-bushland-policy-the-perth-metropolitan-region,,extracted,,2026-06-10,
SPP-007,State Planning Policy 2.9 Planning for Water,SPP,Western Australian Planning Commission,https://www.wa.gov.au/government/document-collections/planning-codes-and-state-planning-policies,https://www.planning.wa.gov.au/state-planning-policy-2.9-water,,extracted,,2026-06-10,"replaces SPP 2.1, 2.2, 2.3, 2.7, 2.9 (2006) and 2.10 - operative water planning policy"
SPP-008,State Planning Policy 3.0 Urban Growth and Settlement,SPP,Western Australian Planning Commission,https://www.wa.gov.au/government/document-collections/planning-codes-and-state-planning-policies,https://www.wa.gov.au/government/publications/state-planning-policy-30-urban-growth-and-settlement,,extracted,,2026-06-10,
SPP-009,State Planning Policy 3.2 Aboriginal Settlements,SPP,Western Australian Planning Commission,https://www.wa.gov.au/government/document-collections/planning-codes-and-state-planning-policies,https://www.wa.gov.au/government/publications/state-planning-policy-32-aboriginal-settlements,,extracted,,2026-06-10,
